l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p_joint,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p_joint,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
COMPLEMENT,relatively,611608,588945.3729,23,45,14,40,51,19,75,27,15,40,79,60,27,42509.45000,42509.45000,1.683346082,0.0151491896,28.9783513,0.00734361319,0.0372979080,0.0074731812,0.9991798860,0.0076324550,0.0370237818,0.0002828143,22662.62707,80132539,612110,83284343
COMPLEMENT,supposedly,27101,26097.5222,108,215,15,287,185,200,84,150,17,287,81,220,150,1870.66120,1870.66120,1.656819566,0.0006761755,6.0955812,0.00032540330,0.0370079910,0.0003309048,0.9991520425,0.0003382022,0.0369959383,0.0000125227,1003.47783,80132539,27124,83284343
COMPLEMENT,worst,9586,9230.9257,218,420,16,514,294,362,83,276,16,515,80,355,276,662.63396,662.63396,1.647042370,0.0002392250,3.6266076,0.00011509967,0.0370143052,0.0001170886,0.9991661455,0.0001196268,0.0370100413,0.0000044311,355.07434,80132539,9594,83284343
COMPLEMENT,partly,78538,75634.1292,69,137,17,140,118,90,85,79,21,144,85,136,79,5390.20505,5390.20505,1.635943004,0.0019582814,10.3618517,0.00094301038,0.0369755912,0.0009575744,0.9990967955,0.0009801012,0.0369406914,0.0000362383,2903.87081,80132539,78609,83284343
COMPLEMENT,fewer,1595,1535.6011,491,858,18,1217,599,855,78,626,11,1217,75,681,626,112.86549,112.86549,1.621564421,0.0000398083,1.4872972,0.00001915126,0.0372180426,0.0000195872,0.9993734336,0.0000199045,0.0372173294,0.0000007413,59.39886,80132539,1596,83284343
COMPLEMENT,progressively,12721,12251.1337,187,364,19,435,268,310,92,243,23,438,87,318,243,868.97388,868.97388,1.602445970,0.0003174485,4.1659466,0.00015274179,0.0369071053,0.0001549422,0.9990575670,0.0001587495,0.0369014628,0.0000058636,469.86633,80132539,12733,83284343
COMPLEMENT,understandably,12707,12237.6635,188,365,20,436,270,311,93,244,24,439,88,319,244,867.91994,867.91994,1.601967690,0.0003170992,4.1635408,0.00015257370,0.0369060616,0.0001547674,0.9990565296,0.0001585748,0.0369004254,0.0000058570,469.33651,80132539,12719,83284343
COMPLEMENT,hopefully,7505,7227.7167,245,470,21,574,325,397,89,315,22,574,86,392,315,513.23937,513.23937,1.595108443,0.0001872971,3.2007256,0.00009011298,0.0369153831,0.0000914364,0.9990681576,0.0000936573,0.0369120534,0.0000034603,277.28335,80132539,7512,83284343
COMPLEMENT,seemingly,162146,156166.5951,46,91,22,90,90,59,91,55,28,92,92,106,55,11013.56529,11013.56529,1.591997399,0.0040387647,14.8492611,0.00194689655,0.0369115738,0.0019717562,0.9989957427,0.0020234726,0.0368396385,0.0000746189,5979.40489,80132539,162309,83284343
COMPLEMENT,gradually,2460,2368.8283,409,735,23,981,513,685,82,516,14,982,78,582,516,170.44575,170.44575,1.587846783,0.0000613964,1.8381983,0.00002953736,0.0370326429,0.0000300646,0.9991876523,0.0000306991,0.0370315481,0.0000011378,91.17167,80132539,2462,83284343
COMPLEMENT,undoubtedly,12107,11660.3698,196,380,24,449,273,317,96,246,26,452,90,321,246,822.77909,822.77909,1.580958797,0.0003021287,4.0591004,0.00014536946,0.0368590786,0.0001472798,0.9990098193,0.0001510872,0.0368537151,0.0000055736,446.63017,80132539,12119,83284343
COMPLEMENT,admittedly,13053,12571.5317,184,359,25,429,266,305,97,240,27,432,91,316,240,886.61969,886.61969,1.580212528,0.0003257321,4.2141750,0.00015672814,0.0368547290,0.0001587680,0.9990050513,0.0001628926,0.0368489471,0.0000060084,481.46834,80132539,13066,83284343
COMPLEMENT,mostly,189644,182661.4878,42,83,26,80,86,51,95,50,29,82,93,101,50,12801.85510,12801.85510,1.567266787,0.0047220709,16.0340101,0.00227706665,0.0368639065,0.0023025388,0.9989359797,0.0023666291,0.0367798755,0.0000871370,6982.51225,80132539,189846,83284343
COMPLEMENT,delicately,2287,2202.3753,423,754,27,1019,527,713,86,529,18,1021,82,594,529,157.38874,157.38874,1.556183578,0.0000570788,1.7695545,0.00002746014,0.0369711679,0.0000279057,0.9991262560,0.0000285402,0.0369701518,0.0000010561,84.62468,80132539,2289,83284343
COMPLEMENT,allegedly,15759,15178.9747,162,319,28,389,243,275,99,219,31,390,95,291,219,1061.05131,1061.05131,1.549337826,0.0003932459,4.6204323,0.00018921924,0.0367732753,0.0001912679,0.9989224138,0.0001966617,0.0367663096,0.0000072383,580.02530,80132539,15776,83284343
COMPLEMENT,almost,420711,405241.8701,29,57,29,49,59,27,90,32,33,50,97,74,32,28288.19657,28288.19657,1.548396488,0.0104454766,23.8492075,0.00505150170,0.0369146689,0.0051010684,0.9988840902,0.0052501893,0.0367279860,0.0001930443,15469.12989,80132539,421181,83284343
COMPLEMENT,infamously,2239,2156.1918,427,760,30,1032,535,723,88,535,20,1032,84,598,535,153.76991,153.76991,1.546973282,0.0000558809,1.7500326,0.00002688380,0.0369524314,0.0000273067,0.9991075413,0.0000279412,0.0369514371,0.0000010334,82.80817,80132539,2241,83284343
COMPLEMENT,doubtless,1318,1269.0839,538,920,31,1320,647,925,80,688,12,1320,76,738,688,91.87397,91.87397,1.538746245,0.0000328950,1.3473924,0.00001582530,0.0370863331,0.0000161305,0.9992418499,0.0000164478,0.0370857457,0.0000006104,48.91610,80132539,1319,83284343
COMPLEMENT,repeatedly,1288,1240.2192,545,930,32,1341,657,944,81,696,13,1341,77,747,696,89.60525,89.60525,1.528750372,0.0000321462,1.3313594,0.00001546509,0.0370686743,0.0000157561,0.9992242048,0.0000160734,0.0370681006,0.0000005963,47.78078,80132539,1289,83284343
NEGATED,immediately,57145,3828.4020,6,11,33,21,6,111,4,12,1004,23,4,7,12,240024.55325,240024.55325,1.526304203,0.0351340791,223.0351495,0.00068614337,0.5276774987,0.0175815714,0.5648804405,0.0181308863,0.5270365447,0.0169162162,53316.59797,3151804,101163,83284343
COMPLEMENT,little,37191,35825.8825,90,179,34,238,158,168,102,126,35,238,99,195,126,2477.16342,2477.16342,1.517029597,0.0009278060,7.0786607,0.00044655452,0.0366786103,0.0004501583,0.9988183161,0.0004641186,0.0366622119,0.0000170357,1365.11746,80132539,37235,83284343
COMPLEMENT,nowadays,2068,1991.6631,448,792,35,1069,548,750,94,553,25,1070,89,616,553,140.89334,140.89334,1.512476814,0.0000516132,1.6786457,0.00002483060,0.0368786288,0.0000251727,0.9990338164,0.0000258072,0.0368777122,0.0000009526,76.33686,80132539,2070,83284343
COMPLEMENT,formerly,16910,16290.2650,157,310,36,369,237,257,105,208,37,369,102,280,208,1119.32007,1119.32007,1.490557117,0.0004219616,4.7657825,0.00020303936,0.0366110101,0.0002043625,0.9987596716,0.0002110254,0.0366035674,0.0000077339,619.73500,80132539,16931,83284343
COMPLEMENT,comparatively,33935,32693.1023,98,195,37,255,166,180,109,135,41,257,106,206,135,2233.89135,2233.89135,1.477222500,0.0008466128,6.7415834,0.00040745954,0.0365638960,0.0004095256,0.9987050826,0.0004234859,0.0365489784,0.0000154980,1241.89774,80132539,33979,83284343
COMPLEMENT,seductively,1135,1093.0093,577,975,38,1410,683,986,87,731,19,1410,83,781,731,78.05285,78.05285,1.473852258,0.0000283277,1.2463925,0.00001362801,0.0369641183,0.0000138468,0.9991197183,0.0000141640,0.0369636141,0.0000005240,41.99067,80132539,1136,83284343
NEGATED,yet,51891,3670.5930,8,15,39,22,8,126,5,14,1005,26,5,9,14,210078.02619,210078.02619,1.473110432,0.0319447475,211.6824492,0.00062305829,0.4977331355,0.0159010620,0.5349973709,0.0164639045,0.4971534751,0.0152993038,48220.40701,3151804,96993,83284343
COMPLEMENT,lightly,7903,7613.5413,243,467,40,564,321,390,107,309,38,564,103,386,309,521.82534,521.82534,1.471421980,0.0001972287,3.2560472,0.00009489179,0.0365836285,0.0000954513,0.9987362568,0.0000986241,0.0365801526,0.0000036122,289.45875,80132539,7913,83284343
COMPLEMENT,oftentimes,2617,2520.8490,402,727,41,951,504,663,101,502,34,951,98,568,502,174.93854,174.93854,1.468582781,0.0000653147,1.8795417,0.00003142247,0.0367000122,0.0000317066,0.9988549618,0.0000326584,0.0366988577,0.0000011999,96.15101,80132539,2620,83284343
COMPLEMENT,fairly,392683,378337.0990,31,61,42,53,63,31,103,35,44,56,109,76,35,25738.75754,25738.75754,1.462093274,0.0097529788,22.8932146,0.00471496785,0.0366563966,0.0047306747,0.9986394316,0.0049004188,0.0364833274,0.0001790272,14345.90103,80132539,393218,83284343
COMPLEMENT,pretty,1619495,1560374.7376,15,29,43,16,36,10,79,11,47,21,113,42,11,106730.03491,106730.03491,1.459829079,0.0396185952,46.4565064,0.01944537162,0.0371786118,0.0194953758,0.9986107583,0.0202102045,0.0364546541,0.0007377810,59120.26236,80132539,1621748,83284343
COMPLEMENT,mercifully,1830,1762.6700,477,835,44,1140,576,803,100,593,32,1144,96,654,593,123.01833,123.01833,1.459389732,0.0000456733,1.5739219,0.00002197292,0.0367530012,0.0000222026,0.9989082969,0.0000228372,0.0367521928,0.0000008402,67.33002,80132539,1832,83284343
COMPLEMENT,newly,27001,26014.7767,116,230,45,288,191,201,114,152,45,288,110,222,152,1764.02662,1764.02662,1.452248252,0.0006736812,6.0018525,0.00032420259,0.0364872969,0.0003252149,0.9986315556,0.0003369543,0.0364754514,0.0000123074,986.22326,80132539,27038,83284343
COMPLEMENT,roughly,18803,18116.4373,143,284,46,352,226,244,116,195,46,352,112,262,195,1226.81701,1226.81701,1.445841521,0.0004691873,5.0068738,0.00022576873,0.0364712926,0.0002263995,0.9986191513,0.0002346487,0.0364630471,0.0000085678,686.56271,80132539,18829,83284343
COMPLEMENT,perilously,4591,4423.0316,319,599,47,740,396,520,112,397,42,741,107,470,397,301.84021,301.84021,1.443815653,0.0001145786,2.4789851,0.00005512441,0.0365407137,0.0000553889,0.9986948010,0.0000572926,0.0365386968,0.0000020961,167.96839,80132539,4597,83284343
COMPLEMENT,deceptively,15077,14526.6329,169,332,48,397,251,282,117,225,48,397,114,297,225,982.67995,982.67995,1.440720069,0.0003762307,4.4822392,0.00018103042,0.0364595926,0.0001814879,0.9986090873,0.0001881508,0.0364529831,0.0000068682,550.36714,80132539,15098,83284343
COMPLEMENT,barely,52103,50202.4190,79,157,49,183,135,124,118,100,51,188,117,161,100,3387.37638,3387.37638,1.439733268,0.0012995743,8.3263566,0.00062560378,0.0364484811,0.0006267317,0.9985817506,0.0006502103,0.0364256464,0.0000237180,1900.58095,80132539,52177,83284343
COMPLEMENT,admirably,2426,2337.0772,420,750,50,985,518,689,106,518,36,985,101,583,518,160.65552,160.65552,1.435675351,0.0000605478,1.8053767,0.00002912912,0.0366098874,0.0000293230,0.9987649238,0.0000302748,0.0366088197,0.0000011097,88.92282,80132539,2429,83284343
COMPLEMENT,rather,382413,368477.8854,33,65,51,56,65,33,111,37,55,59,121,79,37,24820.05682,24820.05682,1.432261034,0.0094991139,22.5343078,0.00459165536,0.0365549591,0.0045952147,0.9985429706,0.0047722561,0.0363868664,0.0001739008,13935.11463,80132539,382971,83284343
COMPLEMENT,largely,165311,159290.7160,47,93,52,89,91,58,120,54,58,91,124,105,54,10688.90993,10688.90993,1.423865036,0.0041174327,14.8069668,0.00198489889,0.0364364639,0.0019852364,0.9985201382,0.0020629697,0.0363640340,0.0000751291,6020.28402,80132539,165556,83284343
COMPLEMENT,reportedly,14409,13883.9126,176,345,53,415,257,295,125,234,54,415,120,307,234,933.03199,933.03199,1.421036022,0.0003595644,4.3743617,0.00017300971,0.0363949002,0.0001731517,0.9985446985,0.0001798146,0.0363885944,0.0000065527,525.08742,80132539,14430,83284343
COMPLEMENT,briefly,2343,2257.2182,426,759,54,1004,526,702,108,523,39,1004,104,589,523,154.46003,154.46003,1.420559564,0.0000584764,1.7721844,0.00002813254,0.0365661535,0.0000282872,0.9987212276,0.0000292391,0.0365651234,0.0000010705,85.78178,80132539,2346,83284343
COMPLEMENT,sometimes,143787,138553.3655,49,98,55,95,94,62,124,58,61,100,127,111,58,9277.05436,9277.05436,1.417763816,0.0035822918,13.8020495,0.00172645896,0.0364068765,0.0017258325,0.9985000312,0.0017943647,0.0363439271,0.0000653122,5233.63453,80132539,144003,83284343
COMPLEMENT,scarcely,4987,4805.0076,308,582,56,706,385,498,119,382,49,709,115,455,382,324.66225,324.66225,1.417598075,0.0001244610,2.5771139,0.00005987920,0.0364443991,0.0000600134,0.9985983180,0.0000622344,0.0364422138,0.0000022711,181.99242,80132539,4994,83284343
COMPLEMENT,lot,2325,2239.8994,429,763,57,1010,528,707,110,526,40,1010,105,591,526,153.11741,153.11741,1.417210852,0.0000580272,1.7649040,0.00002791641,0.0365562579,0.0000280626,0.9987113402,0.0000290144,0.0365552360,0.0000010620,85.10059,80132539,2328,83284343
COMPLEMENT,neither,7504,7230.6031,253,484,58,575,330,398,126,318,56,575,122,395,318,485.47349,485.47349,1.409413442,0.0001872721,3.1560737,0.00009010097,0.0363834396,0.0000901548,0.9985362608,0.0000936449,0.0363801566,0.0000034118,273.39688,80132539,7515,83284343
COMPLEMENT,slowly,4206,4052.6015,332,620,59,767,417,538,122,414,52,767,118,488,414,273.18348,273.18348,1.405779871,0.0001049706,2.3653012,0.00005050169,0.0364212364,0.0000505844,0.9985754986,0.0000524880,0.0364193944,0.0000019143,153.39849,80132539,4212,83284343
COMPLEMENT,third,2830,2726.7504,392,713,60,924,492,643,121,491,50,924,116,557,491,184.05296,184.05296,1.393415797,0.0000706305,1.9408643,0.00003397998,0.0364337030,0.0000340474,0.9985885674,0.0000353165,0.0364324632,0.0000012885,103.24960,80132539,2834,83284343
COMPLEMENT,wondrously,938,903.4646,637,1054,61,1527,727,1067,98,784,30,1529,94,831,784,63.23380,63.23380,1.391098329,0.0000234109,1.1276214,0.00001126262,0.0367793478,0.0000113883,0.9989350373,0.0000117056,0.0367789331,0.0000004310,34.53542,80132539,939,83284343
COMPLEMENT,no,240616,231883.4697,39,77,62,73,78,46,132,45,66,75,133,91,45,15365.01719,15365.01719,1.387937309,0.0059874429,17.8023710,0.00288909045,0.0363391203,0.0028796212,0.9983900682,0.0030027253,0.0362339640,0.0001089761,8732.53027,80132539,241004,83284343
COMPLEMENT,beyond,14567,14037.8576,178,348,63,410,256,292,135,231,64,411,131,305,231,931.87436,931.87436,1.387143316,0.0003635065,4.3841715,0.00017490682,0.0362738282,0.0001744889,0.9984235778,0.0001817863,0.0362674736,0.0000066033,529.14244,80132539,14590,83284343
COMPLEMENT,uncharacteristically,6505,6268.4470,264,504,64,631,352,437,134,342,63,631,130,417,342,417.84118,417.84118,1.386875626,0.0001623428,2.9329508,0.00007810592,0.0363118169,0.0000780052,0.9984650806,0.0000811780,0.0363089764,0.0000029520,236.55298,80132539,6515,83284343
COMPLEMENT,mysteriously,2783,2681.5291,394,715,65,928,494,645,123,495,53,928,119,561,495,180.56034,180.56034,1.386143609,0.0000694575,1.9234685,0.00003341564,0.0364098792,0.0000334608,0.9985647650,0.0000347300,0.0364086608,0.0000012663,101.47094,80132539,2787,83284343
COMPLEMENT,certainly,104884,101079.3095,61,121,66,121,106,77,136,73,67,122,134,125,73,6679.57459,6679.57459,1.381742802,0.0026143356,11.7480209,0.00125934835,0.0362619178,0.0012546269,0.9983722812,0.0013088815,0.0362161770,0.0000474800,3804.69048,80132539,105055,83284343
COMPLEMENT,cautiously,11186,10779.9970,208,402,67,465,284,328,137,259,65,468,132,336,259,713.42581,713.42581,1.376331012,0.0002791484,3.8387678,0.00013431096,0.0362422023,0.0001338827,0.9983934309,0.0001395937,0.0362373267,0.0000050666,406.00301,80132539,11204,83284343
COMPLEMENT,not,4408005,4248674.4925,4,7,68,6,20,5,64,6,76,9,143,27,6,285531.53133,285531.53133,1.371483930,0.1042718481,75.8888375,0.05292717504,0.0381022378,0.0525404995,0.9982381389,0.0550089271,0.0360820347,0.0019883372,159330.50751,80132539,4415785,83284343
COMPLEMENT,next,1493,1438.4234,523,900,69,1250,619,876,113,656,43,1250,108,708,656,97.82948,97.82948,1.371023399,0.0000372626,1.4124620,0.00001792654,0.0365067585,0.0000179971,0.9986622074,0.0000186316,0.0365061032,0.0000006811,54.57662,80132539,1495,83284343
COMPLEMENT,unexpectedly,17968,17316.8856,154,304,70,359,233,250,140,201,69,360,136,271,201,1139.19741,1139.19741,1.365055608,0.0004483563,4.8574401,0.00021574283,0.0361848636,0.0002147102,0.9983331481,0.0002242285,0.0361770439,0.0000081255,651.11444,80132539,17998,83284343
COMPLEMENT,once,101182,97518.3698,64,127,71,122,110,79,138,75,73,123,140,128,75,6399.65529,6399.65529,1.363591693,0.0025221760,11.5175472,0.00121489822,0.0361909165,0.0012081111,0.9983029777,0.0012626831,0.0361468735,0.0000457196,3663.63022,80132539,101354,83284343
COMPLEMENT,moderately,27739,26734.4695,117,232,72,282,190,199,141,148,71,285,138,218,148,1754.53603,1754.53603,1.361299271,0.0006920880,6.0313943,0.00033306380,0.0361644620,0.0003312519,0.9983085007,0.0003461640,0.0361523965,0.0000125359,1004.53049,80132539,27786,83284343
COMPLEMENT,meticulously,2041,1966.6471,461,811,73,1077,560,756,127,558,57,1077,123,621,558,131.98536,131.98536,1.360642353,0.0000509393,1.6457981,0.00002450641,0.0363770782,0.0000245185,0.9985322896,0.0000254703,0.0363761854,0.0000009279,74.35292,80132539,2044,83284343
COMPLEMENT,later,8414,8109.0516,237,456,74,551,313,385,139,303,68,552,135,381,303,533.72692,533.72692,1.358454352,0.0002099800,3.3244901,0.00010102739,0.0361864282,0.0001005591,0.9983388704,0.0001050010,0.0361827663,0.0000038055,304.94835,80132539,8428,83284343
COMPLEMENT,respectfully,2023,1949.3283,464,815,75,1082,562,761,128,561,59,1083,125,624,561,130.64961,130.64961,1.356796080,0.0000504901,1.6379587,0.00002429028,0.0363640302,0.0000242938,0.9985192498,0.0000252457,0.0363631456,0.0000009194,73.67173,80132539,2026,83284343
COMPLEMENT,thankfully,2008,1934.8959,466,818,76,1085,563,763,130,563,60,1088,126,627,563,129.53684,129.53684,1.353564626,0.0000501157,1.6313973,0.00002411017,0.0363529785,0.0000241066,0.9985082049,0.0000250585,0.0363521007,0.0000009123,73.10407,80132539,2011,83284343
COMPLEMENT,hardly,55293,53295.7509,78,155,77,174,132,115,146,96,77,179,144,158,96,3465.29148,3465.29148,1.339887499,0.0013790853,8.4937046,0.00066390630,0.0360806312,0.0006586087,0.9982127383,0.0006900193,0.0360566341,0.0000249243,1997.24908,80132539,55392,83284343
COMPLEMENT,curiously,6380,6149.1397,272,519,78,639,356,442,145,347,75,639,142,422,347,402.30885,402.30885,1.338940301,0.0001592235,2.8902738,0.00007660503,0.0361254976,0.0000761280,0.9982788296,0.0000796181,0.0361227254,0.0000028810,230.86034,80132539,6391,83284343
COMPLEMENT,gently,4118,3968.8939,340,631,79,779,422,547,143,417,72,781,139,492,417,260.28757,260.28757,1.334449526,0.0001027744,2.3235507,0.00004944507,0.0361487165,0.0000491689,0.9983030303,0.0000513899,0.0361469261,0.0000018607,149.10607,80132539,4125,83284343
COMPLEMENT,instead,3528,3400.2597,359,661,80,838,454,583,144,447,74,840,141,520,447,222.97628,222.97628,1.329445424,0.0000880502,2.1506203,0.00004236090,0.0361476368,0.0000421234,0.9983022071,0.0000440271,0.0361461030,0.0000015941,127.74033,80132539,3534,83284343
COMPLEMENT,decidedly,28661,27627.3504,114,226,81,280,183,197,147,147,79,280,146,217,147,1785.67151,1785.67151,1.323843557,0.0007150836,6.1055906,0.00034413431,0.0360105217,0.0003408542,0.9981542105,0.0003576699,0.0359981063,0.0000128992,1033.64962,80132539,28714,83284343
COMPLEMENT,strangely,23538,22689.5652,127,252,82,312,202,221,150,162,80,315,147,233,162,1463.58517,1463.58517,1.318290663,0.0005873039,5.5301087,0.00028262215,0.0359882560,0.0002797781,0.9981341701,0.0002937384,0.0359780660,0.0000105879,848.43475,80132539,23582,83284343
COMPLEMENT,definitely,105661,101855.7695,63,125,83,120,107,76,149,72,84,121,151,124,72,6552.75666,6552.75666,1.314937418,0.0026336766,11.7064068,0.00126867784,0.0359909453,0.0012548050,0.9981013017,0.0013185780,0.0359451975,0.0000474867,3805.23050,80132539,105862,83284343
COMPLEMENT,undeniably,16533,15937.1537,164,322,84,377,240,264,151,212,82,379,149,283,212,1027.39790,1027.39790,1.314889952,0.0004125561,4.6340254,0.00019851270,0.0359795230,0.0001964850,0.9981284714,0.0002063207,0.0359723672,0.0000074358,595.84629,80132539,16564,83284343
COMPLEMENT,agonisingly,1310,1262.3488,561,952,85,1326,661,932,133,697,62,1326,129,748,697,84.23215,84.23215,1.314254206,0.0000326953,1.3165523,0.00001572925,0.0363200777,0.0000157134,0.9984756098,0.0000163479,0.0363195056,0.0000005947,47.65119,80132539,1312,83284343
COMPLEMENT,also,1106329,1066566.3981,17,34,86,27,41,13,129,17,90,30,158,49,17,68591.21981,68591.21981,1.304224462,0.0272357120,37.8035554,0.01328375731,0.0363539598,0.0131120336,0.9980261917,0.0138062392,0.0358700876,0.0004962104,39762.60186,80132539,1108517,83284343
COMPLEMENT,rarely,20560,19820.4157,139,276,87,338,218,233,154,183,87,338,154,252,183,1269.01846,1269.01846,1.300434945,0.0005130180,5.1579378,0.00024686513,0.0359110307,0.0002438838,0.9980582524,0.0002565749,0.0359021482,0.0000092295,739.58425,80132539,20600,83284343
COMPLEMENT,refreshingly,11838,11412.1336,206,399,88,456,279,320,155,255,85,458,152,330,255,730.81405,730.81405,1.297040175,0.0002954168,3.9141211,0.00014213956,0.0359098817,0.0001404328,0.9980608718,0.0001477302,0.0359047676,0.0000053145,425.86645,80132539,11861,83284343
COMPLEMENT,importantly,3247,3129.8938,381,696,89,870,465,611,148,464,78,870,145,536,464,202.28938,202.28938,1.293402939,0.0000810374,2.0551273,0.00003898692,0.0360008507,0.0000386167,0.9981555487,0.0000405204,0.0359994445,0.0000014614,117.10619,80132539,3253,83284343
COMPLEMENT,mighty,7197,6938.1077,261,499,90,593,345,411,156,329,86,594,153,405,329,444.18869,444.18869,1.290601115,0.0001796112,3.0517112,0.00008641480,0.0359055263,0.0000853718,0.9980585217,0.0000898137,0.0359024175,0.0000032308,258.89233,80132539,7211,83284343
COMPLEMENT,probably,134520,129691.9078,52,103,91,104,96,65,160,60,96,109,164,114,60,8242.88249,8242.88249,1.287273559,0.0033517995,13.1638259,0.00161518954,0.0358766333,0.0015921017,0.9979746723,0.0016787188,0.0358185681,0.0000602513,4828.09225,80132539,134793,83284343
COMPLEMENT,virtually,85757,82679.0362,70,139,92,129,116,85,161,77,95,133,163,134,77,5253.31418,5253.31418,1.286668095,0.0021380862,10.5106293,0.00102968934,0.0358560109,0.0010149830,0.9979751196,0.0010701895,0.0358190154,0.0000384109,3077.96381,80132539,85931,83284343
COMPLEMENT,unfortunately,6123,5902.8277,278,529,93,648,364,449,158,357,88,649,156,430,357,377.37090,377.37090,1.284871607,0.0001528101,2.8137179,0.00007351922,0.0358905494,0.0000726036,0.9980440098,0.0000764109,0.0358879056,0.0000027476,220.17230,80132539,6135,83284343
