corpus_slice,file_MB,sentences,tokens,ADV_tokens,ADV_xpos,ADV_lemmas,ADV_forms,ADJ_tokens,ADJ_xpos,ADJ_lemmas,ADJ_forms,NEG_tokens,NEG_xpos,NEG_lemmas,NEG_forms,NR_tokens,NR_xpos,NR_lemmas,NR_forms
apw_eng_199603,13.66,12286,289629,20712,3,717,759,31740,3,3922,4010,2213,7,15,24,3505,15,22,62
apw_eng_199604,12.76,11513,271546,19109,3,715,755,29445,3,3728,3817,2209,7,14,22,3168,15,24,60
apw_eng_199606,12.17,11004,259367,18580,3,682,733,28638,3,3731,3824,2100,8,14,23,3130,15,23,63
apw_eng_199605,13.15,11840,279082,19796,3,732,772,30258,3,3767,3850,2349,6,15,23,3549,16,23,61
apw_eng_199608,9.53,8616,203084,14594,3,638,684,21819,3,3253,3313,1697,7,15,22,2321,15,22,57
apw_eng_199610,12.56,11273,265374,18837,3,709,759,29393,3,3970,4055,2106,7,14,21,3174,15,22,64
apw_eng_199609,10.78,9682,227972,16678,3,660,702,25163,3,3548,3628,1860,6,15,23,2730,15,23,63
apw_eng_199607,12.77,11768,277349,20155,3,703,761,29035,3,3853,3938,2317,7,15,23,3163,15,22,61
apw_eng_199612,13.09,11553,272098,19740,3,694,731,30206,3,3600,3678,2286,7,14,21,3528,15,24,64
apw_eng_199611,12.42,11102,261337,18564,3,714,753,28339,3,3654,3732,2001,8,15,21,3216,16,23,62
apw_eng_199702,12.59,11308,266305,19110,3,674,716,29109,3,3439,3529,2202,7,13,19,3244,16,23,63
apw_eng_199703,14.36,12815,301903,21558,3,728,777,33359,3,3798,3885,2421,7,15,24,3701,15,23,61
apw_eng_199701,14.49,13096,308617,22611,3,697,747,33591,3,3715,3793,2572,7,15,21,3775,15,23,65
apw_eng_199704,13.85,12305,289831,20852,3,698,749,31678,3,3748,3831,2327,7,14,23,3422,16,24,60
apw_eng_199705,15.33,13744,323857,23237,3,703,752,35271,3,3899,3995,2634,7,15,21,4037,16,23,66
apw_eng_199707,15.43,13818,325726,23558,3,738,787,35478,3,4058,4136,2622,7,14,20,4117,15,22,63
apw_eng_199709,16.69,14538,342661,25175,3,763,810,38060,3,4019,4104,2871,7,14,19,4425,15,23,63
apw_eng_199706,15.62,13981,329621,23842,3,729,783,36133,3,4004,4096,2634,7,15,21,4127,15,23,65
apw_eng_199708,13.88,12426,292955,21340,3,693,743,31537,3,3729,3810,2361,7,15,20,3515,15,23,63
apw_eng_199710,16.69,14715,346637,25050,3,739,786,38062,3,4118,4218,2806,7,14,23,4059,15,23,63
apw_eng_199711,20.42,17552,415401,31656,3,899,978,47359,3,5195,5314,3710,7,15,25,5279,16,23,74
apw_eng_199712,29.47,25081,595442,45215,3,1092,1199,68634,3,6758,6931,5209,7,15,26,7597,15,24,75
apw_eng_199802,30.59,26668,633366,48316,3,1207,1307,71371,3,7233,7398,5747,9,14,26,7641,17,24,74
apw_eng_199801,30.83,26535,629982,49142,3,1218,1337,72266,3,7460,7637,5843,7,15,26,7792,16,24,79
apw_eng_199803,31.4,26771,635485,48332,3,1198,1315,73648,3,7634,7816,5672,9,15,26,7553,15,23,76
apw_eng_199805,29.13,25297,600503,46211,3,1179,1276,68216,3,7110,7286,5510,7,14,23,7272,16,24,79
apw_eng_199804,30.27,26030,618605,47348,3,1236,1345,70423,3,7635,7811,5525,7,15,28,7632,16,24,80
apw_eng_199806,27.84,24706,585039,44035,3,1053,1155,65034,3,6388,6548,4962,8,14,27,6929,16,24,81
apw_eng_199807,17.07,15175,357411,26169,3,752,808,40091,3,4208,4307,2931,7,14,23,4351,15,22,63
apw_eng_199808,15.13,13577,319936,23041,3,689,739,34845,3,3662,3735,2773,7,14,22,3562,15,20,61
apw_eng_199809,16.16,14369,338341,24809,3,765,816,36607,3,3979,4057,2821,7,14,22,4022,16,22,67
apw_eng_199810,16.83,14776,347592,25693,3,731,776,38658,3,4032,4118,2897,7,14,20,4221,16,22,64
apw_eng_199811,15.38,13424,315792,22987,3,730,782,35568,3,3965,4052,2669,7,14,20,3957,15,24,60
apw_eng_199901,17.87,15747,370955,27316,3,753,810,41055,3,4151,4236,3229,7,14,22,4416,15,23,69
apw_eng_199902,16.9,14672,345459,25164,3,691,743,38718,3,3954,4042,3062,7,14,21,3990,15,24,67
apw_eng_199812,20.55,17770,418450,30827,3,738,787,47558,3,4178,4262,3739,7,14,22,5336,16,23,67
apw_eng_199903,20.89,18369,432852,31325,3,756,812,47759,3,4177,4273,3708,7,14,22,4991,15,23,60
apw_eng_199904,17.89,15666,369209,26801,3,730,775,40104,3,3878,3968,2938,7,14,23,4261,15,23,62
apw_eng_199906,20.8,18705,441134,31776,3,767,826,47779,3,4169,4269,3536,7,14,22,5243,15,24,64
apw_eng_199905,19.77,17510,412930,30300,3,731,784,44813,3,4118,4199,3394,8,15,24,5147,15,23,64
apw_eng_199907,19.44,17114,403438,29962,3,750,807,44986,3,4179,4272,3431,7,14,20,4973,15,21,65
apw_eng_199908,12.36,11120,262350,19329,3,616,657,28412,3,3243,3303,2260,6,14,16,3142,15,22,57
apw_eng_199910,15.24,13953,329900,24951,3,781,845,33064,3,4268,4345,3189,7,14,22,4385,16,23,67
apw_eng_199909,12.89,11797,278822,20978,3,749,812,28148,3,3928,4000,2607,7,15,22,3501,16,23,69
apw_eng_199911,0.09,78,1836,142,3,63,66,213,3,145,145,24,5,7,9,21,7,7,9
apw_eng_200001,15.3,13347,315521,23519,3,720,780,33189,3,3946,4026,2776,8,14,24,4357,15,23,67
apw_eng_200003,10.99,9586,226495,16784,3,719,772,24282,3,3883,3947,2016,7,14,19,2972,15,23,62
apw_eng_200002,13.75,11837,279636,20663,3,713,765,30009,3,3781,3848,2453,8,14,23,3780,15,22,66
apw_eng_200004,9.31,8200,193723,14223,3,686,741,20556,3,3584,3644,1751,7,14,21,2441,15,23,68
apw_eng_200005,10.48,9305,219882,16196,3,725,774,22734,3,3799,3855,1947,7,14,21,2848,16,22,67
apw_eng_200006,8.83,7831,185014,13700,3,698,738,19515,3,3571,3631,1627,8,14,20,2384,15,21,56
apw_eng_200007,8.64,7714,182324,13658,3,671,720,18865,3,3424,3479,1607,7,14,20,2235,15,24,61
apw_eng_200008,7.99,7327,173081,12596,3,652,690,17693,3,3348,3402,1566,7,14,22,2160,16,23,62
apw_eng_200011,32.69,29493,697888,51397,3,909,982,71901,3,5183,5292,5820,8,14,23,8571,16,24,72
apw_eng_200010,30.64,27884,659426,48814,3,923,1011,66974,3,5285,5396,5735,7,14,24,8799,15,24,74
apw_eng_200012,29.85,26821,634734,46620,3,923,1003,64901,3,5183,5295,5464,7,15,24,8360,15,24,71
apw_eng_200101,30.18,27073,640338,47251,3,915,1007,65676,3,5231,5352,5676,8,15,26,8148,15,24,72
apw_eng_200009,8.59,7672,181306,13425,3,669,720,18595,3,3435,3493,1657,7,13,19,2270,15,22,61
apw_eng_200102,26.88,24111,570038,41602,3,836,920,58597,3,5010,5109,4801,7,15,25,7511,16,23,69
apw_eng_200103,33.18,30123,712240,52098,3,930,1022,73447,3,5435,5564,5940,7,14,22,8659,16,23,71
apw_eng_200104,31.37,28114,665092,48988,3,919,1011,68178,3,5139,5265,5706,7,13,22,8493,16,23,72
apw_eng_200106,31.27,28251,668379,47940,3,879,962,68986,3,5009,5115,5552,7,14,21,8305,15,23,69
apw_eng_200105,31.05,28157,665816,48300,3,861,941,68359,3,5252,5359,5604,7,15,23,8389,15,24,68
apw_eng_200107,28.88,26409,624148,44955,3,845,927,64116,3,5034,5141,5266,7,15,23,7930,15,24,73
apw_eng_200108,18.2,15805,372684,27647,3,770,832,41150,3,4282,4378,3334,8,15,23,4327,16,22,68
apw_eng_200110,26.3,22781,537151,39446,3,830,900,59812,3,5019,5148,4754,7,14,20,6578,15,23,68
apw_eng_200109,25.09,21555,508467,37446,3,850,915,56237,3,4750,4867,4304,7,15,21,6225,15,23,68
apw_eng_200111,23.78,20518,483792,35347,3,854,917,53535,3,4834,4932,3983,7,14,22,5877,16,23,71
apw_eng_200201,25.41,22136,522024,38518,3,875,955,57219,3,5243,5353,4590,8,15,25,6312,15,24,65
apw_eng_200203,26.62,22663,534678,39212,3,887,950,60095,3,5259,5389,4626,7,14,24,6585,15,23,72
apw_eng_200112,22.24,19004,448234,32641,3,839,900,50279,3,4670,4781,3708,7,14,21,5910,15,24,68
apw_eng_200204,25.44,21519,507491,37427,3,887,955,57187,3,4976,5097,4393,8,14,22,6324,16,23,71
apw_eng_200202,25.34,21765,513395,37641,3,856,936,56262,3,5125,5236,4210,7,14,22,6446,15,23,73
apw_eng_200205,27.97,24022,566688,42141,3,895,963,63522,3,5327,5456,4909,8,15,27,7232,15,24,73
apw_eng_200206,28.47,25262,596344,44609,3,924,986,64570,3,5296,5406,5575,7,15,22,7392,16,23,66
apw_eng_200208,22.89,23709,561536,38025,3,833,901,53862,3,4738,4846,3980,7,14,23,5441,16,21,64
apw_eng_200209,26.56,26469,626696,42871,3,854,923,63210,3,4974,5087,4439,7,15,22,6432,15,22,67
apw_eng_200207,27.69,27607,653358,45070,3,860,927,64617,3,5076,5193,4980,7,15,24,6691,15,24,70
apw_eng_200211,26.48,25934,613772,41159,3,879,938,61810,3,5143,5258,4281,7,14,22,6336,16,23,68
apw_eng_200210,30.11,30198,714929,48560,3,927,1000,70872,3,5412,5527,4934,7,15,22,7427,15,24,67
apw_eng_200212,20.04,20115,475901,31820,3,775,832,47721,3,4231,4327,3323,7,15,21,4797,16,23,67
apw_eng_200301,29.78,29607,700279,47735,3,876,948,69564,3,5259,5363,5122,8,15,24,7052,15,23,68
apw_eng_200302,28.34,27684,655127,45573,3,900,979,64885,3,5095,5201,5135,7,15,22,6653,15,23,67
apw_eng_200304,27.68,27467,650006,44463,3,873,940,64184,3,4988,5098,4970,7,15,23,6904,15,23,66
apw_eng_200303,32.85,32216,762335,52539,3,900,972,75714,3,5344,5467,5875,7,15,22,8156,15,23,70
apw_eng_200305,28.85,28526,675305,46513,3,928,1002,67303,3,5205,5315,4909,8,15,25,7275,15,23,71
apw_eng_200307,8.61,7550,178258,13266,3,582,611,19679,3,2846,2886,1448,8,14,22,2243,15,22,60
apw_eng_200306,20.96,19450,460059,32725,3,796,865,47984,3,4512,4606,3677,7,15,22,4955,15,23,65
apw_eng_200309,27.19,23126,545844,40595,3,835,904,60762,3,5095,5211,4723,8,15,23,6851,16,23,69
apw_eng_200310,34.8,29808,704113,52272,3,970,1053,78784,3,6089,6216,6044,7,15,25,8933,15,23,70
apw_eng_200311,28.75,24368,575706,42377,3,891,957,64782,3,5353,5466,4869,7,14,22,7015,15,23,70
apw_eng_200308,22.96,20163,476134,35096,3,824,887,51469,3,4664,4753,4141,7,14,23,5801,16,23,70
apw_eng_200312,25.23,21328,503535,37163,3,839,905,57272,3,4862,4972,4283,7,15,23,6628,15,23,70
apw_eng_200404,28.5,24233,572459,42362,3,905,979,64268,3,5044,5176,5047,7,15,23,7433,16,23,71
apw_eng_200402,19.73,16720,394662,29352,3,768,816,44164,3,4366,4457,3468,8,14,24,5103,15,21,61
apw_eng_200403,32.41,27608,651944,47801,3,932,1007,73733,3,5615,5738,5594,7,15,22,8430,16,23,68
apw_eng_200405,5.69,4794,113165,8285,3,482,503,13007,3,2124,2161,1011,7,14,19,1325,15,21,54
apw_eng_200406,6.58,5791,136552,10230,3,615,660,14843,3,3028,3087,1168,7,13,19,1799,15,22,59
apw_eng_200409,14.71,12482,294188,22362,3,884,954,32853,3,4887,4974,2703,7,15,23,3822,16,23,71
apw_eng_200407,15.75,13574,319717,24198,3,869,939,35484,3,4986,5088,3019,7,14,22,3996,15,22,70
apw_eng_200408,13.07,11412,269089,20538,3,790,844,29656,3,4552,4640,2392,7,14,23,3304,15,23,67
apw_eng_200410,16.69,14097,332149,25168,3,902,964,37367,3,5161,5265,3014,8,13,21,4237,16,23,66
apw_eng_200501,12.05,10293,242376,18404,3,743,793,26932,3,4107,4179,2162,7,15,23,3100,15,23,65
apw_eng_200411,12.09,10172,239538,18078,3,741,800,27377,3,4252,4339,2064,7,15,22,3084,15,23,73
apw_eng_200412,4.46,3720,87620,6722,3,500,524,9987,3,2449,2482,799,6,14,19,1140,15,21,54
apw_eng_200504,11.56,9683,227968,17093,3,777,835,25691,3,4134,4221,1911,7,15,23,2865,15,23,64
apw_eng_200502,10.77,9104,214380,15942,3,723,775,24121,3,4057,4131,1816,7,14,19,2709,15,23,65
apw_eng_200505,15.75,13289,312956,23331,3,850,913,35505,3,5001,5109,2711,7,14,21,3892,15,24,71
apw_eng_200503,15.99,13475,317199,23800,3,865,930,35871,3,4933,5031,2657,7,14,22,3962,15,23,69
apw_eng_200506,16.6,14062,331250,25217,3,868,940,37488,3,5087,5189,2959,7,15,24,4173,15,23,72
apw_eng_200509,18.54,15421,363288,27680,3,909,980,41446,3,5478,5614,3253,9,14,24,4620,16,23,72
apw_eng_200508,13.62,11608,273531,20635,3,769,827,30178,3,4641,4741,2437,7,14,21,3313,16,23,69
apw_eng_200511,16.67,13877,326604,24613,3,851,928,37457,3,5031,5148,2890,7,14,22,3989,15,23,72
apw_eng_200510,17.56,14574,342959,25962,3,883,951,39566,3,5248,5369,2948,7,15,20,4250,15,24,71
apw_eng_200603,18.76,15493,364897,27558,3,929,1004,41771,3,5469,5587,3345,7,15,23,4608,15,23,73
apw_eng_200601,17.57,14703,346196,26054,3,860,930,39292,3,5231,5345,3191,7,15,23,4322,15,23,66
apw_eng_200605,19.34,16098,379174,29046,3,920,997,42696,3,5535,5646,3503,7,14,25,5011,16,24,70
apw_eng_200604,14.97,12358,291022,22103,3,837,901,33278,3,4924,5044,2677,7,14,21,3708,15,23,64
apw_eng_200606,18.45,15858,373796,28518,3,900,978,41073,3,5412,5525,3407,7,13,23,4743,15,24,72
apw_eng_200607,17.06,14387,339168,25590,3,885,945,38032,3,5207,5313,3105,8,14,22,4178,15,23,70
apw_eng_200608,14.95,12785,301433,22767,3,817,869,33382,3,4853,4944,2843,8,14,23,3678,15,23,68
apw_eng_200609,14.95,12068,284696,21238,3,709,757,33467,3,3772,3850,2559,7,13,19,3596,15,23,61
apw_eng_200610,35.79,28964,683361,51814,3,1011,1099,80891,3,6070,6218,6112,8,14,25,8190,16,23,67
apw_eng_200611,36.08,29144,687682,51969,3,951,1040,80898,3,6064,6194,5649,8,14,24,8685,16,24,75
apw_eng_200701,34.42,28390,669852,50153,3,932,1006,77771,3,5788,5921,5988,7,15,25,8847,15,24,70
apw_eng_200612,12.28,9983,235816,18045,3,668,712,27722,3,3493,3558,2248,7,14,21,3026,15,23,61
apw_eng_200702,32.59,26856,633677,47639,3,914,995,72631,3,5680,5808,5602,7,13,22,8129,16,23,73
apw_eng_200703,34.93,28913,682327,50994,3,926,1015,77934,3,6032,6156,6032,7,14,24,8286,16,23,75
apw_eng_200704,33.3,27407,647298,49137,3,940,1018,74187,3,5722,5834,5570,7,14,23,8222,15,23,72
apw_eng_200706,33.21,27017,637710,48863,3,957,1033,74266,3,5939,6067,5769,7,14,23,8202,16,23,70
apw_eng_200707,30.69,25504,602059,45262,3,935,1006,68510,3,5712,5839,5304,7,13,25,7346,15,23,72
apw_eng_200708,33.24,27749,655601,49968,3,911,977,74061,3,5487,5603,5841,8,14,24,8024,15,23,69
apw_eng_200709,34.1,28256,667575,50694,3,933,1006,76118,3,5790,5910,5842,7,15,24,8746,15,23,72
apw_eng_200705,35.08,28945,683344,51492,3,953,1035,78867,3,5944,6078,5935,7,15,27,8795,15,23,69
apw_eng_200710,33.75,27725,654593,49216,3,977,1054,76311,3,5835,5981,5744,8,15,26,8339,15,24,71
apw_eng_200712,25.15,20511,484264,36659,3,847,917,56282,3,4937,5027,4331,7,14,20,6642,15,24,65
apw_eng_200711,30.98,25526,602613,45572,3,939,1002,68955,3,5553,5680,5041,7,14,22,7597,15,23,70
apw_eng_200801,33.75,27631,652609,50243,3,893,972,75795,3,5394,5516,5701,7,15,25,8399,15,24,70
apw_eng_200803,31.63,26446,624822,46941,3,908,974,70455,3,5358,5476,5384,8,14,21,7665,15,24,69
apw_eng_200802,31.89,26237,619744,47329,3,929,1011,70692,3,5588,5712,5615,7,15,25,8073,15,23,67
apw_eng_200806,32.65,27941,660682,50943,3,902,975,73297,3,5495,5595,5804,8,15,25,8573,15,23,70
apw_eng_200804,30.19,25185,594968,45035,3,875,948,66990,3,5405,5506,5321,7,15,23,7546,16,24,69
apw_eng_200808,27.65,23902,565119,43108,3,881,950,61789,3,5271,5365,5101,7,15,24,6645,15,23,70
apw_eng_200805,32.0,26681,630801,48138,3,894,978,71221,3,5486,5607,5647,7,15,23,7938,15,23,65
apw_eng_200807,28.91,24339,574849,44400,3,896,970,64251,3,5427,5544,5260,7,14,22,7089,15,23,71
apw_eng_200809,32.61,26865,634804,49335,3,896,965,73311,3,5437,5532,5716,7,15,22,8099,15,23,71
apw_eng_200810,31.5,25961,612957,47138,3,902,972,71801,3,5390,5485,5252,7,14,22,7855,15,23,67
apw_eng_200811,24.45,20417,482209,37051,3,867,930,56011,3,4858,4954,3981,7,15,24,6284,15,22,67
apw_eng_200902,24.17,20426,482263,37131,3,830,902,54075,3,4761,4852,4328,8,15,23,6243,16,23,64
apw_eng_200901,24.19,20295,479157,36932,3,843,906,54071,3,4750,4861,4308,8,15,23,6052,15,23,68
apw_eng_200812,19.31,16069,379132,28818,3,726,772,42842,3,4233,4318,3354,7,15,22,5285,15,22,68
apw_eng_200903,27.12,22665,534788,41051,3,858,931,61173,3,5204,5313,4708,7,14,22,6694,15,23,65
apw_eng_200904,30.39,25607,604901,46866,3,892,967,68534,3,5379,5474,5340,7,14,22,7601,15,23,72
apw_eng_200905,28.88,24357,574919,45100,3,892,966,65118,3,5232,5335,5259,7,15,22,7567,16,22,69
apw_eng_200906,30.55,25730,608209,46862,3,875,945,68927,3,5263,5361,5061,7,13,23,7677,15,22,69
apw_eng_200908,19.93,16825,397194,30356,3,755,810,44919,3,4325,4410,3587,7,14,22,5068,16,22,69
apw_eng_200907,18.15,15523,366664,27975,3,757,813,41091,3,4158,4225,3189,7,13,22,4809,16,22,70
apw_eng_200909,19.84,16451,388444,30368,3,770,823,45107,3,4356,4442,3651,7,14,22,5185,15,23,64
apw_eng_200910,19.23,16081,379572,28989,3,763,811,43323,3,4221,4300,3035,7,15,21,4917,15,22,66
apw_eng_200911,19.71,16420,387632,29694,3,781,825,44551,3,4133,4225,3401,7,14,20,5075,15,24,66
apw_eng_201002,16.43,14240,336252,25838,3,747,796,36952,3,3933,4005,3137,7,14,22,4273,15,23,66
apw_eng_200912,20.29,16986,401255,30293,3,752,801,46299,3,4250,4335,3311,8,14,23,5046,15,24,69
nyt_eng_199407,32.97,28136,667560,55455,3,1445,1547,75942,3,8819,8954,7204,7,15,28,8920,16,23,78
nyt_eng_199409,34.17,29076,689948,58219,3,1514,1621,78961,3,8907,9064,7415,8,15,26,9184,15,24,76
nyt_eng_199408,33.97,29106,690755,57448,3,1496,1605,77530,3,9013,9166,7482,7,15,28,9177,16,24,85
nyt_eng_199411,30.84,26194,621537,52103,3,1525,1632,70974,3,8589,8726,6724,7,15,23,8537,16,24,82
nyt_eng_199410,34.49,29384,697239,58758,3,1517,1629,79464,3,9073,9203,7482,8,15,28,9477,15,24,81
nyt_eng_199412,30.81,26256,622971,51586,3,1479,1580,71188,3,8511,8653,6414,9,15,27,8447,16,24,82
nyt_eng_199501,37.53,31561,748963,62793,3,1585,1690,85681,3,9483,9622,8157,8,15,25,10078,16,24,77
nyt_eng_199502,35.3,29871,709124,59470,3,1533,1624,81099,3,9205,9354,7732,8,15,24,9331,15,24,77
nyt_eng_199503,42.72,36770,873201,72067,3,1641,1750,98523,3,10252,10435,9347,9,15,27,11585,16,23,78
nyt_eng_199505,51.77,45146,1073076,87564,3,1691,1830,120285,3,11035,11243,10908,8,15,27,13774,16,23,82
nyt_eng_199504,41.78,36012,855384,70911,3,1665,1791,95942,3,10091,10252,9217,8,15,26,11400,15,24,78
nyt_eng_199506,62.67,54246,1289747,105114,3,1751,1884,145201,3,11506,11721,13532,8,15,29,17083,16,24,84
nyt_eng_199507,53.9,47250,1123043,90709,3,1710,1854,124735,3,11021,11224,11312,7,15,29,14722,16,24,79
nyt_eng_199508,59.86,52754,1253519,100760,3,1743,1894,138211,3,11556,11766,12587,10,15,32,16309,15,23,85
nyt_eng_199510,63.37,55297,1313460,107214,3,1758,1894,146627,3,11506,11751,13598,7,15,29,17478,16,23,81
nyt_eng_199509,51.1,44766,1063324,85092,3,1590,1720,117938,3,10149,10342,10862,8,15,27,14079,16,24,78
nyt_eng_199511,60.9,53227,1264026,101218,3,1756,1890,140626,3,11278,11524,12918,8,15,27,17350,16,24,80
nyt_eng_199602,59.97,52116,1237928,100365,3,1749,1884,137828,3,11160,11390,12357,9,15,30,16643,15,24,82
nyt_eng_199512,58.86,51056,1213610,98542,3,1701,1837,136130,3,11232,11453,12290,8,15,26,16450,16,24,79
nyt_eng_199604,71.14,62133,1475700,119122,3,1716,1858,164379,3,11483,11713,15023,8,15,30,19245,17,24,83
nyt_eng_199603,70.04,61387,1458088,116814,3,1797,1939,162136,3,11762,12003,14480,9,15,28,19617,16,24,84
nyt_eng_199605,76.52,66997,1591526,128678,3,1762,1908,177632,3,11569,11782,15995,7,15,27,21134,17,24,82
nyt_eng_199606,44.5,38320,910575,74870,3,1482,1589,102897,3,9022,9189,9581,10,15,26,11813,17,24,79
nyt_eng_199607,66.39,58131,1381292,111592,3,1725,1845,152755,3,11451,11664,13938,9,15,31,18364,15,24,82
nyt_eng_199608,67.17,58278,1385422,113659,3,1800,1929,156280,3,11292,11502,14002,7,15,28,18784,17,23,77
nyt_eng_199610,72.91,63138,1500339,122145,3,1793,1936,167820,3,12035,12282,15378,9,15,30,20425,17,24,83
nyt_eng_199609,68.31,59127,1405339,115453,3,1710,1850,158651,3,11491,11724,14728,9,15,27,19090,16,23,84
nyt_eng_199612,64.9,55931,1330094,107677,3,1790,1920,149342,3,11184,11414,13596,9,15,30,18213,16,23,80
nyt_eng_199611,65.87,56876,1351710,110396,3,1785,1926,153162,3,11237,11467,14061,8,15,27,18409,16,24,84
nyt_eng_199703,62.93,54515,1295832,103592,3,1761,1898,144248,3,11543,11776,13085,8,15,29,17106,17,23,81
nyt_eng_199701,67.85,58626,1393716,112163,3,1747,1889,156346,3,11742,11974,13971,7,15,29,18940,15,24,79
nyt_eng_199702,59.06,51136,1215850,96884,3,1692,1824,136009,3,10808,11038,12096,10,15,28,16190,16,24,82
nyt_eng_199705,63.06,54565,1296876,103787,3,1707,1842,144533,3,11419,11649,12888,7,15,27,16743,16,23,81
nyt_eng_199707,66.95,57607,1369127,109858,3,1766,1908,153082,3,11529,11758,13424,8,15,30,17961,17,23,81
nyt_eng_199704,62.22,54195,1288482,103028,3,1720,1858,142507,3,11397,11607,12702,7,15,28,16812,16,24,81
nyt_eng_199706,62.18,52614,1250532,100199,3,1769,1909,142799,3,11186,11412,12522,8,15,29,17137,17,24,79
nyt_eng_199709,69.64,59809,1422115,114488,3,1773,1911,160322,3,11850,12082,14288,8,15,27,18987,16,24,84
nyt_eng_199708,60.82,53472,1271362,101269,3,1704,1839,139644,3,11280,11485,12721,8,15,27,16157,17,24,84
nyt_eng_199710,69.45,59643,1417878,114322,3,1839,1980,159204,3,12298,12550,14112,9,15,28,19051,16,24,80
nyt_eng_199712,65.5,55543,1320100,106895,3,1817,1955,149964,3,11864,12102,13050,8,15,29,17861,16,24,87
nyt_eng_199711,59.68,51194,1216094,97678,3,1750,1881,136770,3,11331,11569,12150,7,15,27,15980,15,24,81
nyt_eng_199802,47.57,40703,968087,79810,3,1707,1829,109978,3,10612,10826,10191,8,15,26,13085,17,24,83
nyt_eng_199801,64.35,54248,1288597,104338,3,1773,1905,147009,3,11593,11822,12878,7,15,30,17831,15,24,82
nyt_eng_199803,52.95,45673,1086555,89512,3,1785,1918,122190,3,11394,11598,11234,8,15,27,14656,16,24,80
nyt_eng_199805,55.89,47610,1132513,94594,3,1764,1892,128445,3,11576,11777,12075,7,15,28,15498,15,24,86
nyt_eng_199806,58.18,49056,1167013,97525,3,1873,2000,135053,3,11865,12086,12602,8,15,31,16086,16,24,87
nyt_eng_199807,53.32,45404,1079972,89130,3,1821,1952,123022,3,11707,11905,11202,8,15,27,14451,16,24,80
nyt_eng_199804,43.18,37537,893042,73568,3,1637,1760,100255,3,10149,10322,9544,7,15,27,11810,16,23,82
nyt_eng_199808,54.09,46479,1105727,92228,3,1743,1865,125079,3,11152,11351,11893,8,15,28,14787,16,23,77
nyt_eng_199809,55.71,47458,1129183,93407,3,1845,1976,127283,3,11569,11799,11895,8,15,31,15392,15,24,82
nyt_eng_199811,54.59,46525,1107196,91834,3,1865,2008,126747,3,11776,12005,11915,8,15,28,14959,16,24,87
nyt_eng_199810,55.94,47562,1131478,94759,3,1864,2002,128540,3,11886,12119,11832,9,15,31,15486,15,23,85
nyt_eng_199902,50.45,42987,1022514,84885,3,1738,1863,115183,3,11072,11257,10991,9,15,31,13732,16,24,84
nyt_eng_199901,57.4,49196,1170468,97006,3,1827,1962,131556,3,11787,11980,12383,9,15,30,16386,16,24,84
nyt_eng_199812,57.73,49009,1166376,97343,3,1963,2107,133554,3,11928,12164,12961,8,15,28,16197,17,24,84
nyt_eng_199903,56.54,48370,1150482,94474,3,1819,1958,130412,3,11958,12174,11977,8,15,31,15183,16,24,84
nyt_eng_199905,53.53,45924,1092558,89584,3,1736,1861,122964,3,11134,11328,10967,8,15,27,14605,15,24,79
nyt_eng_199904,54.87,47451,1129214,92706,3,1831,1963,126320,3,11530,11745,11818,7,15,26,14531,16,24,85
