      l1  l2             f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff   f1  f2    N  
POSITIVE  mundane        3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
POSITIVE  divisive       3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
POSITIVE  violent        3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
POSITIVE  expensive      3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
POSITIVE  beautiful      3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
POSITIVE  small          3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
POSITIVE  normal         3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
POSITIVE  aggressive     3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
POSITIVE  hard           3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
POSITIVE  enthusiastic   3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
NEGATIVE  available      3   1.5223881                29                   30                 18      13          8           29           12                  42                   9                  29                   8             12  136   6  536  
NEGATIVE  close          3   1.5223881                29                   30                 18      13          8           29           12                  42                   9                  29                   8             12  136   6  536  
POSITIVE  important     20  17.9104478                31                   34                 31       2         20           31            6                  25                   2                  31                  11              6  400  24  536  
POSITIVE  wrong          5   4.4776119                33                   40                 33      22         33           32           33                  25                  19                  31                  34             33  400   6  536  
POSITIVE  special        5   4.4776119                33                   40                 33      22         33           32           33                  25                  19                  31                  34             33  400   6  536  
POSITIVE  good          17  15.6716418                32                   38                 32       3         32           34           14                  28                   3                  34                  14             14  400  21  536  
POSITIVE  right          4   3.7313433                35                   42                 36      29         35           35           35                  29                  25                  35                  36             35  400   5  536  
POSITIVE  high           4   3.7313433                35                   42                 36      29         35           35           35                  29                  25                  35                  36             35  400   5  536  
POSITIVE  ill            4   3.7313433                35                   42                 36      29         35           35           35                  29                  25                  35                  36             35  400   5  536  
NEGATIVE  different      3   2.7910448                38                   46                 35      15         38           38           38                  47                   9                  38                  33             38  136  11  536  
POSITIVE  difficult      3   2.9850746                39                   48                 40      43         39           39           39                  32                  32                  39                  39             39  400   4  536  
POSITIVE  better         3   2.9850746                39                   48                 40      43         39           39           39                  32                  32                  39                  39             39  400   4  536  
POSITIVE  different      8   8.2089552                41                   46                 39      16         41           41           41                  36                  16                  41                  41             41  400  11  536  
POSITIVE  happy          5   5.2238806                42                   45                 42      24         42           42           42                  37                  19                  42                  42             42  400   7  536  
NEGATIVE  good           4   5.3283582                43                   38                 43       6         45           43           45                  48                   4                  43                  48             45  136  21  536  
NEGATIVE  important      4   6.0895522                46                   34                 44       7         48           44           48                  49                   4                  44                  49             48  136  24  536  
POSITIVE  big            3   3.7313433                44                   36                 45      45         43           45           43                  38                  32                  45                  43             43  400   5  536  
POSITIVE  sinister       3   3.7313433                44                   36                 45      45         43           45           43                  38                  32                  45                  43             43  400   5  536  
POSITIVE  close          3   4.4776119                47                   30                 47      47         46           47           46                  42                  32                  47                  45             46  400   6  536  
POSITIVE  available      3   4.4776119                47                   30                 47      47         46           47           46                  42                  32                  47                  45             46  400   6  536  
POSITIVE  bad            3   5.2238806                49                    9                 49      49         49           49           49                  46                  32                  49                  47             49  400   7  536  
